Formatted Date,Summary,Precip Type,Temperature (C),Apparent Temperature (C),Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Loud Cover,Pressure (millibars),Daily Summary,month
2006-03-31 22:00:00+00:00,Partly Cloudy,rain,9.472222222222221,7.388888888888887,0.89,14.1197,251.0,15.826300000000002,0.0,1015.13,Partly cloudy throughout the day.,3
2006-03-31 23:00:00+00:00,Partly Cloudy,rain,9.355555555555558,7.227777777777777,0.86,14.2646,259.0,15.826300000000002,0.0,1015.63,Partly cloudy throughout the day.,3
2006-04-01 00:00:00+00:00,Mostly Cloudy,rain,9.377777777777778,9.377777777777778,0.89,3.9284,204.0,14.9569,0.0,1015.94,Partly cloudy throughout the day.,4
2006-04-01 01:00:00+00:00,Partly Cloudy,rain,8.28888888888889,5.944444444444446,0.83,14.1036,269.0,15.826300000000002,0.0,1016.41,Partly cloudy throughout the day.,4
2006-04-01 02:00:00+00:00,Mostly Cloudy,rain,8.755555555555553,6.977777777777778,0.83,11.0446,259.0,15.826300000000002,0.0,1016.51,Partly cloudy throughout the day.,4
2006-04-01 03:00:00+00:00,Partly Cloudy,rain,9.222222222222221,7.111111111111111,0.85,13.9587,258.0,14.9569,0.0,1016.66,Partly cloudy throughout the day.,4
2006-04-01 04:00:00+00:00,Partly Cloudy,rain,7.733333333333333,5.522222222222222,0.95,12.3648,259.0,9.982,0.0,1016.72,Partly cloudy throughout the day.,4
2006-04-01 05:00:00+00:00,Partly Cloudy,rain,8.77222222222222,6.527777777777778,0.89,14.1519,260.0,9.982,0.0,1016.84,Partly cloudy throughout the day.,4
2006-04-01 06:00:00+00:00,Partly Cloudy,rain,10.822222222222221,10.822222222222221,0.82,11.3183,259.0,9.982,0.0,1017.37,Partly cloudy throughout the day.,4
2006-04-01 07:00:00+00:00,Partly Cloudy,rain,13.77222222222222,13.77222222222222,0.72,12.525800000000002,279.0,9.982,0.0,1017.22,Partly cloudy throughout the day.,4
2006-04-01 08:00:00+00:00,Partly Cloudy,rain,16.016666666666666,16.016666666666666,0.67,17.5651,290.0,11.2056,0.0,1017.42,Partly cloudy throughout the day.,4
2006-04-01 09:00:00+00:00,Partly Cloudy,rain,17.144444444444446,17.144444444444446,0.54,19.7869,316.0,11.4471,0.0,1017.74,Partly cloudy throughout the day.,4
2006-04-01 10:00:00+00:00,Partly Cloudy,rain,17.800000000000004,17.800000000000004,0.55,21.9443,281.0,11.27,0.0,1017.59,Partly cloudy throughout the day.,4
2006-04-01 11:00:00+00:00,Partly Cloudy,rain,17.333333333333332,17.333333333333332,0.51,20.6885,289.0,11.27,0.0,1017.48,Partly cloudy throughout the day.,4
2006-04-01 12:00:00+00:00,Partly Cloudy,rain,18.87777777777778,18.87777777777778,0.47,15.375500000000002,262.0,11.4471,0.0,1017.17,Partly cloudy throughout the day.,4
2006-04-01 13:00:00+00:00,Partly Cloudy,rain,18.911111111111115,18.911111111111115,0.46,10.4006,288.0,11.27,0.0,1016.47,Partly cloudy throughout the day.,4
2006-04-01 14:00:00+00:00,Partly Cloudy,rain,15.388888888888891,15.388888888888891,0.6,14.4095,251.0,11.27,0.0,1016.15,Partly cloudy throughout the day.,4
2006-04-01 15:00:00+00:00,Mostly Cloudy,rain,15.550000000000002,15.550000000000002,0.63,11.1573,230.0,11.4471,0.0,1016.17,Partly cloudy throughout the day.,4
2006-04-01 16:00:00+00:00,Mostly Cloudy,rain,14.255555555555553,14.255555555555553,0.69,8.5169,163.0,11.2056,0.0,1015.82,Partly cloudy throughout the day.,4
2006-04-01 17:00:00+00:00,Mostly Cloudy,rain,13.144444444444444,13.144444444444444,0.7,7.631400000000001,139.0,11.2056,0.0,1015.83,Partly cloudy throughout the day.,4
2006-04-01 18:00:00+00:00,Mostly Cloudy,rain,11.55,11.55,0.77,7.3899,147.0,11.0285,0.0,1015.85,Partly cloudy throughout the day.,4
2006-04-01 19:00:00+00:00,Mostly Cloudy,rain,11.183333333333335,11.183333333333335,0.76,4.9266000000000005,160.0,9.982,0.0,1015.77,Partly cloudy throughout the day.,4
2006-04-01 20:00:00+00:00,Partly Cloudy,rain,10.116666666666667,10.116666666666667,0.79,6.6493,163.0,15.826300000000002,0.0,1015.4,Partly cloudy throughout the day.,4
2006-04-01 21:00:00+00:00,Mostly Cloudy,rain,10.2,10.2,0.77,3.9284,152.0,14.9569,0.0,1015.51,Partly cloudy throughout the day.,4
2006-04-09 22:00:00+00:00,Partly Cloudy,rain,10.42222222222222,10.42222222222222,0.62,16.985500000000002,150.0,15.826300000000002,0.0,1014.4,Mostly cloudy throughout the day.,4
2006-04-09 23:00:00+00:00,Partly Cloudy,rain,9.911111111111113,7.566666666666666,0.66,17.2109,149.0,15.826300000000002,0.0,1014.2,Mostly cloudy throughout the day.,4
2006-04-10 00:00:00+00:00,Mostly Cloudy,rain,11.183333333333335,11.183333333333335,0.8,10.8192,163.0,14.9569,0.0,1008.71,Mostly cloudy throughout the day.,4
2006-04-10 01:00:00+00:00,Partly Cloudy,rain,7.155555555555557,5.044444444444443,0.79,11.0768,180.0,15.826300000000002,0.0,1014.47,Mostly cloudy throughout the day.,4
2006-04-10 02:00:00+00:00,Partly Cloudy,rain,6.111111111111112,4.816666666666666,0.82,6.6493,161.0,15.826300000000002,0.0,1014.45,Mostly cloudy throughout the day.,4
2006-04-10 03:00:00+00:00,Partly Cloudy,rain,6.788888888888887,4.272222222222221,0.83,13.0088,135.0,14.9569,0.0,1014.49,Mostly cloudy throughout the day.,4
2006-04-10 04:00:00+00:00,Mostly Cloudy,rain,7.26111111111111,5.155555555555557,0.85,11.1734,141.0,6.1985,0.0,1014.52,Mostly cloudy throughout the day.,4
2006-04-10 05:00:00+00:00,Mostly Cloudy,rain,7.799999999999999,5.52777777777778,0.83,12.8156,150.0,8.05,0.0,1014.16,Mostly cloudy throughout the day.,4
2006-04-10 06:00:00+00:00,Mostly Cloudy,rain,9.872222222222225,7.933333333333334,0.78,13.7494,160.0,9.982,0.0,1014.24,Mostly cloudy throughout the day.,4
2006-04-10 07:00:00+00:00,Mostly Cloudy,rain,12.222222222222221,12.222222222222221,0.72,15.633100000000002,150.0,9.982,0.0,1014.25,Mostly cloudy throughout the day.,4
2006-04-10 08:00:00+00:00,Mostly Cloudy,rain,15.094444444444447,15.094444444444447,0.61,17.549000000000003,151.0,9.982,0.0,1013.96,Mostly cloudy throughout the day.,4
2006-04-10 09:00:00+00:00,Mostly Cloudy,rain,17.355555555555554,17.355555555555554,0.52,22.7815,169.0,9.982,0.0,1013.85,Mostly cloudy throughout the day.,4
2006-04-10 10:00:00+00:00,Mostly Cloudy,rain,19.00555555555555,19.00555555555555,0.46,23.8924,169.0,9.982,0.0,1013.04,Mostly cloudy throughout the day.,4
2006-04-10 11:00:00+00:00,Mostly Cloudy,rain,20.04444444444444,20.04444444444444,0.4,28.3682,170.0,9.982,0.0,1012.22,Mostly cloudy throughout the day.,4
2006-04-10 12:00:00+00:00,Mostly Cloudy,rain,21.05,21.05,0.4,26.9031,187.0,10.3523,0.0,1011.44,Mostly cloudy throughout the day.,4
2006-04-10 13:00:00+00:00,Mostly Cloudy,rain,21.183333333333326,21.183333333333326,0.37,25.6956,179.0,9.982,0.0,1010.52,Mostly cloudy throughout the day.,4
2006-04-10 14:00:00+00:00,Mostly Cloudy,rain,20.11666666666666,20.11666666666666,0.4,25.309200000000004,162.0,9.982,0.0,1009.83,Mostly cloudy throughout the day.,4
2006-04-10 15:00:00+00:00,Mostly Cloudy,rain,20.216666666666665,20.216666666666665,0.36,18.1125,161.0,10.3523,0.0,1009.26,Mostly cloudy throughout the day.,4
2006-04-10 16:00:00+00:00,Mostly Cloudy,rain,20.0,20.0,0.43,23.425500000000003,160.0,9.982,0.0,1008.76,Mostly cloudy throughout the day.,4
2006-04-10 17:00:00+00:00,Mostly Cloudy,rain,17.800000000000004,17.800000000000004,0.5,20.0445,150.0,11.2056,0.0,1008.36,Mostly cloudy throughout the day.,4
2006-04-10 18:00:00+00:00,Mostly Cloudy,rain,16.06111111111111,16.06111111111111,0.53,21.3969,149.0,9.982,0.0,1008.11,Mostly cloudy throughout the day.,4
2006-04-10 19:00:00+00:00,Mostly Cloudy,rain,15.02222222222222,15.02222222222222,0.55,21.3808,159.0,9.982,0.0,1008.15,Mostly cloudy throughout the day.,4
2006-04-10 20:00:00+00:00,Overcast,rain,14.422222222222226,14.422222222222226,0.58,20.0123,159.0,15.826300000000002,0.0,1007.85,Mostly cloudy throughout the day.,4
2006-04-10 21:00:00+00:00,Overcast,rain,14.255555555555553,14.255555555555553,0.59,16.5025,168.0,14.9569,0.0,1007.89,Mostly cloudy throughout the day.,4
2006-04-10 22:00:00+00:00,Overcast,rain,13.77222222222222,13.77222222222222,0.6,17.0982,160.0,15.826300000000002,0.0,1007.36,Foggy in the evening.,4
2006-04-10 23:00:00+00:00,Overcast,rain,13.283333333333333,13.283333333333333,0.63,14.3612,160.0,15.826300000000002,0.0,1007.26,Foggy in the evening.,4
2006-04-11 00:00:00+00:00,Overcast,rain,8.633333333333333,5.466666666666669,0.87,22.0409,32.0,6.6976,0.0,1005.1,Foggy in the evening.,4
2006-04-11 01:00:00+00:00,Overcast,rain,11.25,11.25,0.83,11.3344,152.0,15.826300000000002,0.0,1007.01,Foggy in the evening.,4
2006-04-11 02:00:00+00:00,Overcast,rain,11.183333333333335,11.183333333333335,0.89,11.2056,180.0,9.9015,0.0,1006.73,Foggy in the evening.,4
2006-04-11 03:00:00+00:00,Overcast,rain,10.694444444444443,10.694444444444443,0.95,10.4006,161.0,6.6976,0.0,1006.59,Foggy in the evening.,4
2006-04-11 04:00:00+00:00,Mostly Cloudy,rain,11.111111111111109,11.111111111111109,0.93,12.0106,140.0,5.9731000000000005,0.0,1006.34,Foggy in the evening.,4
2006-04-11 05:00:00+00:00,Mostly Cloudy,rain,11.111111111111109,11.111111111111109,0.93,9.2092,103.0,10.8031,0.0,1006.09,Foggy in the evening.,4
2006-04-11 06:00:00+00:00,Partly Cloudy,rain,12.166666666666664,12.166666666666664,0.82,9.9015,113.0,10.6743,0.0,1005.97,Foggy in the evening.,4
